"Add to collection","Add to collection"
"Add","Add"
"All bookstores","All bookstores"
"Author","Author"
"Book in collection","Book in collection"
"Book information","Book information"
"Books added successfully","Books added successfully"
"Books collection","Books collection"
"Books directories","Books directories"
"Books lost","Books lost"
"Books published successfully","Books published successfully"
"Books published","Books published"
"Books removed successfully","Books removed successfully"
"Books unpublished successfully","Books unpublished successfully"
"Books","Books"
"Bookstore","Bookstore"
"Catalog %s was created","Catalog %s was created"
"Catalogs were updated","Catalogs were updated"
"Catalogs","Catalogs"
"Change","Change"
"Close","Close"
"Collection","Collection"
"Contents","Contents"
"Create","Create"
"Description","Description"
"Development","Development"
"Directory","Directory"
"Download","Download"
"Edit information","Edit information"
"Edit","Edit"
"English","English"
"Established author","Established author"
"Established language","Established language"
"Established publisher","Established publisher"
"Established title","Established title"
"Established year","Established year"
"Export metabooks","Export metabooks"
"Export","Export"
"File in disk","File in disk"
"File was edited successfully","File was edited successfully"
"File","File"
"Filename repeated","Filename repeated"
"Files","Files"
"Fullname","Fullname"
"Generate thumbs","Generate thumbs"
"Hash","Hash"
"Help","Help"
"Import metabooks","Import metabooks"
"Import","Import"
"Incorrect information","Incorrect information"
"Index","Index"
"Introduction","Introduction"
"Invalid type given. String expected","Invalid type given. String expected"
"Label","Label"
"Language","Language"
"List","List"
"Login","Login"
"Logout","Logout"
"Lost","Lost"
"Meta-information uploaded successfully","Meta-information uploaded successfully"
"Mode","Mode"
"New catalog","New catalog"
"New password","New password"
"New user","New user"
"New","New"
"No results found","No results found"
"No tags founded","No tags founded"
"Open","Open"
"Page not found","Page not found"
"Password","Password"
"Path","Path"
"Photo","Photo"
"Privacy","Privacy"
"Publish the book","Publish the book"
"Published book","Published book"
"Published","Published"
"Publisher","Publisher"
"Queries","Queries"
"Remove from collection","Remove from collection"
"Repeated checksum","Repeated checksum"
"Retype password","Retype password"
"Search","Search"
"Searcher","Searcher"
"Settings","Settings"
"Size","Size"
"Source code","Source code"
"Spanish","Spanish"
"Tagcloud","Tagcloud"
"Tags","Tags"
"Terms","Terms"
"The book was edited successfully","The book was edited successfully"
"The file can not be found in: %s","The file can not be found in: %s"
"The files were removed","The files were removed"
"The information of '%s' was updated successfully","The information of '%s' was updated successfully"
"The password of '%s' was updated successfully","The password of '%s' was updated successfully"
"The photo of catalog %s was updated successfully","The photo of catalog %s was updated successfully"
"The photo of '%s' was updated successfully","The photo of '%s' was updated successfully"
"The thumb was generated successfully","The thumb was generated successfully"
"The thumb wasn't generated","The thumb wasn't generated"
"This manual doesn't exist","This manual doesn't exist"
"Thumbnail generate","Thumbnail generate"
"Thumbnails were generated","Thumbnails were generated"
"Title","Title"
"Unpublish books","Unpublish books"
"Unpublish the book","Unpublish the book"
"Unpublish","Unpublish"
"Update","Update"
"User %s was created","User %s was created"
"Username","Username"
"Users","Users"
"Value is required and can't be empty","Value is required and can't be empty"
"Year","Year"
"You change the language","You change the language"
"You must be admin","You must be admin"
"You must be logged","You must be logged"
"You must define a catalog name","You must define a catalog name"
"author","author"
"language","language"
"publisher","publisher"
"title","title"
"'%value%' exceeds the allowed length","'%value%' exceeds the allowed length"
"'%value%' is less than %min% characters long","'%value%' is less than %min% characters long"
"'%value%' is more than %max% characters long","'%value%' is more than %max% characters long"
"'%value%' is used for another person","'%value%' is used for another person"
"year","year"
